"RED_IZO";"IČO";"Zřizovatel";"Území";"Kraj";"Okres/Obvod";"Správní úřad";"ORP";"ORP Název";"Plný název";"Zkrácený název";"Ulice";"Č. p.";"Č. or.";"Část obce";"PSČ";"Místo";"Kód RÚIAN";"Telefon";"Fax";"Email 1";"Email 2";"WWW";"Ředitel";"IZO";"Druh/Typ";"Název";"Škola - Ulice";"Škola - Č. p.";"Škola - Č. or.";"Škola - Část obce";"Škola - PSČ";"Škola - Místo";"Škola - Kód RÚIAN";"Kapacita";"Datum zahájení činnosti"
"600000729";"25338790";"5";"CZ0642";"Jihomoravský kraj";"Brno-město";"B62000";"6203";"Brno";"Mateřská škola a základní škola Sluníčko - Montessori, s.r.o.";"MŠ a ZŠ Sluníčko, s.r.o.";"Šrámkova";"432";"14";"Lesná";"63800";"Brno";"19262906";"603 984 380";;"slunicko.reditelstvi@seznam.cz";"caslavova@slunicko-montessori.cz";"http://www.slunicko-montessori.cz";"Mgr. Alena Bilerová";"044992114";"A00";"Mateřská škola";"Šrámkova";"432";"14";"Lesná";"63800";"Brno";"19262906";"180";"30.05.1996"
"600000729";"25338790";"5";"CZ0642";"Jihomoravský kraj";"Brno-město";"B62000";"6203";"Brno";"Mateřská škola a základní škola Sluníčko - Montessori, s.r.o.";"MŠ a ZŠ Sluníčko, s.r.o.";"Šrámkova";"432";"14";"Lesná";"63800";"Brno";"19262906";"603 984 380";;"slunicko.reditelstvi@seznam.cz";"caslavova@slunicko-montessori.cz";"http://www.slunicko-montessori.cz";"Mgr. Alena Bilerová";"151040583";"B00";"Základní škola";"Provazníkova";"1578";"84";"Husovice";"61300";"Brno";"25470621";"90";"01.09.2008"
"600000729";"25338790";"5";"CZ0642";"Jihomoravský kraj";"Brno-město";"B62000";"6203";"Brno";"Mateřská škola a základní škola Sluníčko - Montessori, s.r.o.";"MŠ a ZŠ Sluníčko, s.r.o.";"Šrámkova";"432";"14";"Lesná";"63800";"Brno";"19262906";"603 984 380";;"slunicko.reditelstvi@seznam.cz";"caslavova@slunicko-montessori.cz";"http://www.slunicko-montessori.cz";"Mgr. Alena Bilerová";"171100581";"L13";"Školní jídelna - výdejna";"Šrámkova";"432";"14";"Lesná";"63800";"Brno";"19262906";"270";"01.09.2006"
"600000729";"25338790";"5";"CZ0642";"Jihomoravský kraj";"Brno-město";"B62000";"6203";"Brno";"Mateřská škola a základní škola Sluníčko - Montessori, s.r.o.";"MŠ a ZŠ Sluníčko, s.r.o.";"Šrámkova";"432";"14";"Lesná";"63800";"Brno";"19262906";"603 984 380";;"slunicko.reditelstvi@seznam.cz";"caslavova@slunicko-montessori.cz";"http://www.slunicko-montessori.cz";"Mgr. Alena Bilerová";"171104927";"G21";"Školní družina";"Provazníkova";"1578";"84";"Husovice";"61300";"Brno";"25470621";"60";"01.09.2008"
"600001148";"48546119";"6";"CZ0107";"Hlavní město Praha";"Praha 7";"B11000";"1100";"Hlavní město Praha";"Bratrská škola - církevní základní škola";"Bratrská škola - církevní základní škola";"Rajská";"300";"3";"Holešovice";"17000";"Praha";"22297669";"778 112 229";;"info@bratrska.cz";"rostislav.konopa@bratrska.cz";"http://www.bratrska.cz";"Mgr. Rostislav Konopa";"048546119";"B00";"Základní škola";"Rajská";"300";"3";"Holešovice";"17000";"Praha";"22297669";"220";"01.09.1991"
"600001148";"48546119";"6";"CZ0107";"Hlavní město Praha";"Praha 7";"B11000";"1100";"Hlavní město Praha";"Bratrská škola - církevní základní škola";"Bratrská škola - církevní základní škola";"Rajská";"300";"3";"Holešovice";"17000";"Praha";"22297669";"778 112 229";;"info@bratrska.cz";"rostislav.konopa@bratrska.cz";"http://www.bratrska.cz";"Mgr. Rostislav Konopa";"110001583";"G21";"Školní družina";"Rajská";"300";"3";"Holešovice";"17000";"Praha";"22297669";"140";"16.05.1996"
"600001431";"70901619";"6";"CZ0426";"Ústecký kraj";"Teplice";"B42000";"4213";"Teplice";"Biskupské gymnázium, Základní škola a Mateřská škola Bohosudov";"Biskupské gymnázium, ZŠ a MŠ Bohosudov";"Koněvova";"100";;"Bohosudov";"41742";"Krupka";"26029901";"417 862 507";;"info@bgbzs.cz";;"http://www.bgbzs.cz";"Mgr. Jakub Wiedner";"108019578";"C00";"Střední škola";"Koněvova";"100";;"Bohosudov";"41742";"Krupka";"26029901";"300";"21.06.1996"
"600001431";"70901619";"6";"CZ0426";"Ústecký kraj";"Teplice";"B42000";"4213";"Teplice";"Biskupské gymnázium, Základní škola a Mateřská škola Bohosudov";"Biskupské gymnázium, ZŠ a MŠ Bohosudov";"Koněvova";"100";;"Bohosudov";"41742";"Krupka";"26029901";"417 862 507";;"info@bgbzs.cz";;"http://www.bgbzs.cz";"Mgr. Jakub Wiedner";"108037738";"B00";"Základní škola";"Koněvova";"34";;"Bohosudov";"41742";"Krupka";;"240";"21.06.1996"
"600001431";"70901619";"6";"CZ0426";"Ústecký kraj";"Teplice";"B42000";"4213";"Teplice";"Biskupské gymnázium, Základní škola a Mateřská škola Bohosudov";"Biskupské gymnázium, ZŠ a MŠ Bohosudov";"Koněvova";"100";;"Bohosudov";"41742";"Krupka";"26029901";"417 862 507";;"info@bgbzs.cz";;"http://www.bgbzs.cz";"Mgr. Jakub Wiedner";"110017676";"G21";"Školní družina";"Koněvova";"34";;"Bohosudov";"41742";"Krupka";;"120";"21.06.1996"
"600001431";"70901619";"6";"CZ0426";"Ústecký kraj";"Teplice";"B42000";"4213";"Teplice";"Biskupské gymnázium, Základní škola a Mateřská škola Bohosudov";"Biskupské gymnázium, ZŠ a MŠ Bohosudov";"Koněvova";"100";;"Bohosudov";"41742";"Krupka";"26029901";"417 862 507";;"info@bgbzs.cz";;"http://www.bgbzs.cz";"Mgr. Jakub Wiedner";"150077688";"L13";"Školní jídelna - výdejna";"Koněvova";"34";;"Bohosudov";"41742";"Krupka";"26029821";"410";"01.09.2005"
